"Page","Impressions","Clicks","CTR","Avg. Position"
"https://registreduquebec.com/","8155","26","0.32%","5.79988620478234"
"https://registreduquebec.com/recherche","3501","4","0.11%","7.98258409025993"
"https://registreduquebec.com/blogue/neq-quebec-tout-savoir-numero-entreprise","2538","22","0.87%","4.8672109929078"
"https://registreduquebec.com/en/construction-et-renovation/lavaltrie/albec-csj-revetements-daluminium-inc","1438","0","0%","1"
"https://registreduquebec.com/sign-in/","737","1","0.14%","7.07464952510176"
"https://registreduquebec.com/services-funeraires/thetford-mines/coop-funeraire-de-la-region-de-lamiante-5","310","4","1.29%","6.34194516129032"
"https://registreduquebec.com/entreprise/gowling-wlg","149","0","0%","5.91274093959731"
"https://registreduquebec.com/entreprise/gowling-wlg-canada-inc","106","0","0%","7.75471509433962"
"https://registreduquebec.com/entreprise/drummondville/genevieve-leclerc-mise-en-forme-nutrition-inc","101","2","1.98%","8.05939603960396"
"https://registreduquebec.com/entreprise/montreal/gowling-wlg","100","0","0%","4.790004"
"https://registreduquebec.com/technologie/gatineau/deneigement-st-pierre","96","0","0%","5.83331875"
"https://registreduquebec.com/entreprise/cp-49314/adyen-canada-ltd-2","91","0","0%","16.7032967032967"
"https://registreduquebec.com/en/technology/laval/mode-derable-canada","81","0","0%","2.92591358024691"
"https://registreduquebec.com/fabrication-et-refection-de-bobines-pour-equipements-hydroelectriques-et-eoliens/montreal/delstar-energie","79","0","0%","4.8861"
"https://registreduquebec.com/login/","67","0","0%","6.65670895522388"
"https://registreduquebec.com/automobile-et-transport/mascouche/seb-transport-2","65","0","0%","12.5692"
"https://registreduquebec.com/sports-et-loisirs/montreal/centre-sportif-de-la-petite-bourgogne-2","64","1","1.56%","6.6718609375"
"https://registreduquebec.com/entreprise/gm-dev-2","58","0","0%","32.4828"
"https://registreduquebec.com/education-et-formation/drummondville/ecole-de-conduite-perreault-inc-4","51","0","0%","6.86274509803922"
"https://registreduquebec.com/organismes-publics-et-communautaires/montreal/fraternite-des-policiers-et-policieres-de-montreal","46","0","0%","4.41304782608696"
"https://registreduquebec.com/entreprise/construction-marc-andre-chasse-inc-1173762007","37","0","0%","9.91891891891892"
"https://registreduquebec.com/entreprise/coop-funeraire-de-la-region-de-lamiante-5","35","0","0%","7.62857714285714"
"https://registreduquebec.com/en/business/montreal/gowling-wlg-canada-inc","31","0","0%","5.41936774193548"
"https://registreduquebec.com/automobile-et-transport/sainte-martine/laplante-radiateurs-inc","30","0","0%","4"
